patient_id,timestamp,step_count,activity_level,accel_x,accel_y,accel_z,calories,device,quality_flag,steps_norm,cal_norm
P001,2000-01-01 09:00:00+00:00,0,sedentary,0.05,-0.01,9.77,1.5,Fitbit,ok,0.0,0.00015
P001,2000-01-01 09:05:00+00:00,45,light,0.1,0.03,9.85,2.3,Fitbit,ok,0.0009,0.00022999999999999998
P001,2000-01-01 09:10:00+00:00,120,moderate,0.08,0.02,9.7,3.8,Fitbit,ok,0.0024,0.00037999999999999997
P001,2000-01-01 09:15:00+00:00,230,intense,-0.12,0.04,9.92,5.6,Fitbit,ok,0.0046,0.00056
P001,2000-01-01 09:20:00+00:00,60,light,0.02,-0.05,9.81,2.7,Fitbit,ok,0.0012,0.00027
P001,2000-01-01 09:25:00+00:00,180,moderate,0.06,0.01,9.76,4.9,Fitbit,ok,0.0036,0.00049
P001,2000-01-01 09:30:00+00:00,15,sedentary,-0.04,0.02,9.79,1.8,Fitbit,ok,0.0003,0.00018
P001,2000-01-01 09:35:00+00:00,95,light,0.09,-0.03,9.88,3.2,Fitbit,ok,0.0019,0.00032
P001,2000-01-01 09:40:00+00:00,310,intense,0.14,0.05,9.83,6.4,Fitbit,ok,0.0062,0.00064
P001,2000-01-01 09:45:00+00:00,150,moderate,-0.08,0.06,9.74,4.2,Fitbit,ok,0.003,0.00042
P002,2000-01-01 09:00:00+00:00,20,light,0.04,0.01,9.79,2.0,Apple Watch,ok,0.0004,0.0002
P002,2000-01-01 09:05:00+00:00,80,moderate,-0.06,0.02,9.82,3.1,Apple Watch,ok,0.0016,0.00031
P002,2000-01-01 09:10:00+00:00,200,intense,0.11,-0.04,9.75,6.0,Apple Watch,ok,0.004,0.0006
P002,2000-01-01 09:15:00+00:00,35,light,0.02,0.0,9.8,2.4,Apple Watch,ok,0.0007,0.00023999999999999998
P002,2000-01-01 09:20:00+00:00,145,moderate,-0.05,0.03,9.84,4.7,Apple Watch,ok,0.0029,0.00047000000000000004
P002,2000-01-01 09:25:00+00:00,250,intense,0.13,-0.02,9.77,7.2,Apple Watch,ok,0.005,0.00072
P002,2000-01-01 09:30:00+00:00,10,sedentary,0.0,0.01,9.81,1.6,Apple Watch,ok,0.0002,0.00016
P002,2000-01-01 09:35:00+00:00,95,light,0.07,-0.01,9.85,3.3,Apple Watch,ok,0.0019,0.00033
P002,2000-01-01 09:40:00+00:00,310,intense,-0.09,0.04,9.78,6.5,Apple Watch,ok,0.0062,0.00065
P002,2000-01-01 09:45:00+00:00,175,moderate,0.05,0.06,9.82,4.8,Apple Watch,ok,0.0035,0.00047999999999999996
